date,narration,credit,debit,balance,account_number,bank_name
2025-01-01,Opening Balance,0,0,1200000,9988776655,HDFC Bank
2025-01-03,Customer Collection,12500000,0,13700000,9988776655,HDFC Bank
2025-01-05,Vendor Payment,0,9800000,3900000,9988776655,HDFC Bank
2025-01-08,Cheque Bounce - Return Dishonour,0,0,3900000,9988776655,HDFC Bank
2025-01-10,Related Party Inward,22000000,0,25900000,9988776655,HDFC Bank
2025-01-11,Related Party Outward,0,21500000,4400000,9988776655,HDFC Bank
2025-01-13,EMI Debit,0,3500000,900000,9988776655,HDFC Bank
2025-01-15,Cheque Bounce - Return Dishonour,0,0,900000,9988776655,HDFC Bank
2025-01-18,Customer Collection,8000000,0,8900000,9988776655,HDFC Bank
2025-01-22,Vendor Payment,0,7600000,1300000,9988776655,HDFC Bank
2025-01-25,Cheque Bounce - Return Dishonour,0,0,1300000,9988776655,HDFC Bank
2025-01-28,Penalty/Charges,0,300000,1000000,9988776655,HDFC Bank
